recordKey,id,sourceId,sourceMajor,name,location,sourceLocationCode,appStatus,reviewStatus,beaconStatus,category,description,longDescription,latitude,longitude,imagePath,imageAlt,isOpen,trailDistanceDescription,previousBeaconStatus,macAddress,beaconPlacement,purchaseCount,sourceNewBeaconCount,sourceImageName,sourceCoordinates,sourceRow,carriedForwardFields,reviewNotes,reviewGroups,coordinateReview,coordinateDifferenceMetres,coordinateNote
LP-2,1002.0,1002.0,17.0,Yellow Trail,lions-pride-park,LP,Active,Needs Review,working,Trail,This paved trail leads you around the outside of the park and is great exercise.,The yellow trail is a 0.4-mile paved loop around the park and connects with the trail around IPW and the rest of Upper Nike.,40.2472,-75.1773,lions-pride-park/images/Yellow_trail.jpg,Picture of trail,false,"This is a paved 0.4 mile trail around Kids Mountain and the Grove.  Just to the right of the main entrance is a link to the IPW Park around the soccer fields. About half-way around, is a connector to the Green Trail.",Replaced batteries,EBC6A9D55546,inside Kiosk,,,trail,"40.2472, -75.1773",Lions Pride!A2:R2,"imagePath, isOpen, trailDistanceDescription",Coordinate change; confirm placement and affected trail stops. Existing image retained under group 1 policy.,"1, 3",Changed beyond rounding,125.7,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
LP-3,3001.0,,17.0,Green Trail,lions-pride-park,LP,Active,Needs Review,working,Trail,This is a limestone trail passing the meadow and Rain garden,The green trail is tied into the wetlands trail. It extends around the Rain garden area,40.24774,-75.17829,lions-pride-park/images/trail.jpg,Picture of Green Trail,true,"This is a crushed stone U-shaped trail about .25 miles around the back of the park leading to the Rain Garden nature area. The link from the Yellow trail allows you to walk left toward the Rain Garden, or right around the lacrosse field to the rain garden and some informative nature signs. the two ends do not currently connect to one another. This will change when the pond to wetland project is completed.",Replaced batteries,,on pole,,,,"40.24774, -75.17829",Lions Pride!A3:R3,"imageAlt, imagePath, isOpen, trailDistanceDescription",Source has no numeric ID; matched by name/context to app 3001. Coordinate change; confirm placement and affected trail stops.,"1, 3, 6",Changed beyond rounding,107.6,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
LP-4,1009.0,1009.0,17.0,Park Entrance,lions-pride-park,LP,Active,Needs Review,working,PointOfInterest,Welcome! This is the entrance to Lions Pride Park. ,Welcome to Lions Pride Park! The entrance is the start of the Yellow Trail. Walk to your right to enter Kids Mountain or straight ahead to the Grove. Note the engraved walls showing the donors who made this park possible. The restrooms are located to your left,40.2460564,-75.1774876,lions-pride-park/images/park_entrance.jpg,View of trees and field from park entrance,,,,,behind wall,,,park_entrance,"40.2460564, -75.1774876",Lions Pride!A4:R4,imagePath,Coordinate change; confirm placement and affected trail stops. Existing image retained under group 1 policy.,"1, 3",Changed beyond rounding,11.7,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
LP-5,1011.0,1011.0,17.0,Restrooms,lions-pride-park,LP,Active,Needs Review,working,Building,"Men's, Women's restrooms with changing tables. There is a water fountain at the rear of the building.","The restrooms are located at the south of the park just south of the pavilion on the Yellow Trail. There are Men's and Women's restrooms, both ADA accessible and each has a changing table. There is a water fountain at the rear of the building.",40.24617,-75.17828,lions-pride-park/images/restrooms.jpg,Small white building with two entrances for bathrooms,,,,,on eve of roof,,,restrooms,"40.24617, -75.17828",Lions Pride!A5:R5,imagePath,Coordinate change; confirm placement and affected trail stops. Existing image retained under group 1 policy.,"1, 3",Changed beyond rounding,7.9,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
LP-6,1012.0,1012.0,17.0,The Grove,lions-pride-park,LP,Active,Needs Review,working,PointOfInterest,"The grove is a relaxing family area with games to play and chairs, tables and hammocks to relax on.","The Grove offers intergenerational experiences set in scenic beauty, including playing life-size games and enjoying picnics that will build lasting family memories. Seating areas incorporate benches and tables that accommodate people with various physical needs. The center of the grove is a large circular area dedicated to the Warrington Lions Club. It is surrounded by tables with built in checker/chess boards and more.We have chess and checkers games for you to play. We provide the game pieces for free. To allow us to continue to make them available, please make sure you return all equipment when you are done using it.",40.24668,-75.17796,lions-pride-park/images/the_grove.jpg,Picture of the Grove,,,Can't locate,D55B64B7E605,,,,the_grove,"40.246680, -75.177960",Lions Pride!A6:R6,imagePath,Coordinate change; confirm placement and affected trail stops. Existing image retained under group 1 policy.,"1, 3",Changed beyond rounding,3.6,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
LP-7,1003.0,1013.0,17.0,Kids Mountain,lions-pride-park,LP,Active,Needs Review,working,PointOfInterest,"Kids Mountain is loaded with swings, slides, climbing towers and rope bridges for hours of fun.","Kids Mountain, an exciting state-of-the-art play area fully accessible to people of all abilities, includes swings, slides, climbing towers, and rope bridges. The topography lends itself to climbing, sledding, walking, and enjoying the views. This fifteen-foot-high mountain has multiple means to ascend and descend for children of all ages and abilities. The small mountain is connected to Kids Mountain by a rope bridge starting at the big tower. This hill has a net climbing structure to move about in as well as several different activities along the edges: A smaller zigzag climbing ladder, one spider web climbing net, sliding pipes and a 4-foot-wide sliding board. Along this hill are many colorful half domes that children and use to make their way both up and down the hill.",40.24683,-75.17772,lions-pride-park/images/kids_mountain.jpg,Picture of the Kids Mountain,,,Can't locate,E714A556EDED,black cap inside climbing bars,,,kids_mountain,"40.246830, -75.177720",Lions Pride!A7:R7,imagePath,"ID conflict: source 1013, existing app 1003; confirm hardware before changing ID. Coordinate change; confirm placement and affected trail stops. Existing image retained under group 1 policy.","1, 3, 5, 6",Changed beyond rounding,9.4,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
LP-8,1015.0,1015.0,17.0,Pavilion,lions-pride-park,LP,Active,Needs Review,working,Building,The Pavilion is a covered gathering place next to the Grove.,"The covered pavilion can hold 50-75 people. The pavilion can be rented out for parties and gatherings. It is conveniently located next to the grove, grills, and picnic tables.",40.24633,-75.17831,lions-pride-park/images/pavilion.jpg,Picture of the pavillion,,,,,SW corner of pavillion,,,pavillion,"40.246330, -75.178310",Lions Pride!A8:R8,imagePath,Coordinate change; confirm placement and affected trail stops. Existing image retained under group 1 policy.,"1, 3",Changed beyond rounding,11.3,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
LP-9,1016.0,1016.0,17.0,Tennis Courts,lions-pride-park,LP,Retired,Needs Review,DELETE,PointOfInterest,Tennis/Pickleball Courts are open to all on a first come- first served basis.,The tennis/pickleball courts are open to the public on a first come-first served basis. Bring your own equipment.,40.246183,-75.1788337,lions-pride-park/images/tennis_pickleball.jpg,Picture of the Tennis Courts,,,"missing, don't replace",,,DELETE,,,", -75.1788337",Lions Pride!A9:R9,"description, longDescription, imageAlt, latitude, imagePath",Coordinate change; confirm placement and affected trail stops. Source requests deletion; retirement proposed. Check trail references.,"1, 5",Incomplete source coordinates,,Retained values are not a complete new measurement.
LP-10,1017.0,1017.0,17.0,Small Mountain,lions-pride-park,LP,Retired,Needs Review,DELETE,PointOfInterest,The Small Mountain is a fun play area for toddlers and anyone not comfortable with climbing the Kids Mountain.,"The small mountain is connected to Kids Mountain by a rope bridge starting at the big tower. This hill has a net climbing structure to move about in as well as several different activities along the edges: A smaller zigzag climbing ladder, one spider web climbing net, sliding pipes and a 4-foot-wide sliding board. Along this hill are many colorful half domes that children can use to make their way both up and down the hill. There is a tot lot, ideal for kids 2-5 with a sandbox, diggers, a dish swing, mommy & me swings and various other activities.",40.24688,-75.17771,lions-pride-park/images/Small_mountain.jpg,Picture of the Small Mountain,,,Can't locate,,inside black cap facing main mountain,,,Small_mountain,"40.24688, -75.17771",Lions Pride!A10:R10,"longDescription, imagePath",Coordinate change; confirm placement and affected trail stops. Source requests deletion; retirement proposed. Check trail references. Existing image retained under group 1 policy.,"1, 5",Changed beyond rounding,14.8,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
LP-11,2001.0,2001.0,17.0,Invasive Species,lions-pride-park,LP,Active,Needs Review,working,PointOfInterest,Here's some information about invasive plants in the area and their effect on the environment. Invasive plants are plants that didn't start in this area and can have a bad effect on the natural habitat.,"Invasive species are known as plants or animals that did not originate (are not native to) the area in which they currently reside. In short, they spread quickly, and can cause environmental and subsequently economic damage. They make up around 41% of the vegetation in Pennsylvania. Invasive plants diminish the available habitat for native wildlife, and “out-compete” native plants in a way that disrupts the food chain as well as the natural balance of our local environment.",40.2471,-75.1786,lions-pride-park/images/invasive_species.jpg,Spotted lantern fly on a branch,,,Replaced batteries,,,,,invasive_species,"40.247100, -75.178600",Lions Pride!A11:R11,imagePath,Proposed name: Invasive Species and The Woods → Invasive Species Coordinate change; confirm placement and affected trail stops. Existing image retained under group 1 policy.,"1, 3, 5",Changed beyond rounding,74.4,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
