recordKey,name,groups,appStatus,coordinateReview,differenceMetres,issue,coordinateNote
LP-2,Yellow Trail,"1, 3",Active,Changed beyond rounding,125.7,Coordinate change; confirm placement and affected trail stops. Existing image retained under group 1 policy.,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
LP-3,Green Trail,"1, 3, 6",Active,Changed beyond rounding,107.6,Source has no numeric ID; matched by name/context to app 3001. Coordinate change; confirm placement and affected trail stops.,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
LP-4,Park Entrance,"1, 3",Active,Changed beyond rounding,11.7,Coordinate change; confirm placement and affected trail stops. Existing image retained under group 1 policy.,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
LP-5,Restrooms,"1, 3",Active,Changed beyond rounding,7.9,Coordinate change; confirm placement and affected trail stops. Existing image retained under group 1 policy.,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
LP-6,The Grove,"1, 3",Active,Changed beyond rounding,3.6,Coordinate change; confirm placement and affected trail stops. Existing image retained under group 1 policy.,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
LP-7,Kids Mountain,"1, 3, 5, 6",Active,Changed beyond rounding,9.4,"ID conflict: source 1013, existing app 1003; confirm hardware before changing ID. Coordinate change; confirm placement and affected trail stops. Existing image retained under group 1 policy.",Not explained by rounding to the source precision; confirm the measurement source or physical placement.
LP-8,Pavilion,"1, 3",Active,Changed beyond rounding,11.3,Coordinate change; confirm placement and affected trail stops. Existing image retained under group 1 policy.,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
LP-9,Tennis Courts,"1, 5",Retired,Incomplete source coordinates,,Coordinate change; confirm placement and affected trail stops. Source requests deletion; retirement proposed. Check trail references.,Retained values are not a complete new measurement.
LP-10,Small Mountain,"1, 5",Retired,Changed beyond rounding,14.8,Coordinate change; confirm placement and affected trail stops. Source requests deletion; retirement proposed. Check trail references. Existing image retained under group 1 policy.,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
LP-11,Invasive Species,"1, 3, 5",Active,Changed beyond rounding,74.4,Proposed name: Invasive Species and The Woods → Invasive Species Coordinate change; confirm placement and affected trail stops. Existing image retained under group 1 policy.,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
LP-12,Climbing Ladder,"5, 6",Retired,No source comparison,,New or distinct source record; complete required fields and confirm ID/location before activating. Source ID 2002 is used by Recycling; resolve collision. Source requests deletion; retirement proposed. Check trail references.,
LP-13,Small Slides,"1, 3, 5",Active,Changed beyond rounding,4.4,Proposed name: Small Slides and Rope Ladder → Small Slides Coordinate change; confirm placement and affected trail stops. Existing image retained under group 1 policy.,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
LP-14,Large Slides,"4, 5, 6",Draft,No source comparison,,New or distinct source record; complete required fields and confirm ID/location before activating. Source ID 2004 is used by Green Trail Mid-Point; resolve collision.,
LP-15,Bees,"1, 3",Active,Changed beyond rounding,98.0,Coordinate change; confirm placement and affected trail stops. Existing image retained under group 1 policy.,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
LP-16,Butterflies,"1, 3",Active,Changed beyond rounding,61.8,Coordinate change; confirm placement and affected trail stops. Existing image retained under group 1 policy.,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
LP-17,Natural Slope,"1, 5",Retired,Changed beyond rounding,2.4,Coordinate change; confirm placement and affected trail stops. Source requests deletion; retirement proposed. Check trail references. Existing image retained under group 1 policy.,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
LP-18,Games,5,Retired,No source comparison,,New or distinct source record; complete required fields and confirm ID/location before activating. Source requests deletion; retirement proposed. Check trail references.,
